date, pm25, pm10, o3, no2, so2, co
16/04/2023,49,33,22,23, , 
17/04/2023,69,42,33,23, , 
18/04/2023,93,25,31,15, , 
19/04/2023,58,32,33,22, , 
20/04/2023,56,29,33,32, , 
21/04/2023,61,29,34,30, , 
22/04/2023,66,19,36,24, , 
23/04/2023,41,22,37,52, , 
24/04/2023,43,27,31,58, , 
25/04/2023,49,33,34,34, , 
26/04/2023,59,28,33,33, , 
27/04/2023,53,20,26,18, , 
28/04/2023,32,23,28,19, , 
29/04/2023,56,30,32,30, , 
30/04/2023,66,31,30,17, , 
01/05/2023,66,30,29,21, , 
02/05/2023,54,33,37,26, , 
03/05/2023,56,32,38,29, , 
04/05/2023,52,27,34,26, , 
05/05/2023,42,28,32,28, , 
06/05/2023,54,21,27,27, , 
07/05/2023,46,21,26,16, , 
08/05/2023,45,18,27,26, , 
09/05/2023,34,26,28,21, , 
10/05/2023,41,27,25,20, , 
11/05/2023,44,22,24,22, , 
12/05/2023,35,43,42,20, , 
13/05/2023,69,39,37,15, , 
14/05/2023,72,29,28,18, , 
15/05/2023,63,38,29,15, , 
16/05/2023,38,18,33,22, , 
17/05/2023,47,24,39,21, , 
18/05/2023,50,31,41,22, , 
19/05/2023,59,38,39,19, , 
20/05/2023,66,34,37,14, , 
21/05/2023,64,36,35,17, , 
22/05/2023,67,39,34,19, , 
23/05/2023,64,39,35,23, , 
24/05/2023,57,40,39,26, , 
25/05/2023,67,45,38,22, , 
26/05/2023,66,39,40,26, , 
27/05/2023,68,41,49,23, , 
28/05/2023,95,40,38,16, , 
29/05/2023,73,42,40,22, , 
30/05/2023,78,37,45,16, , 
31/05/2023,53,45,47,21, , 
01/06/2023,67,27,38,19, , 
02/06/2023,60,26,41,21, , 
03/06/2023,68,33,44,21, , 
04/06/2023,58,41,46,21, , 
05/06/2023,67,41,49,23, , 
06/06/2023,88,39,55,25, , 
07/06/2023,74,39,56,22, , 
08/06/2023,80,39,58,24, , 
09/06/2023,98,31,41,22, , 
10/06/2023,73,31,36,20, , 
11/06/2023,86,34,37,18, , 
12/06/2023,64,41,54,22, , 
13/06/2023,71,34,60,39, , 
14/06/2023,69,33,65,34, , 
15/06/2023,69,31,73,44, , 
16/06/2023,73,32,56,28, , 
17/06/2023,77,38,38,28, , 
18/06/2023,72,35,33,26, , 
19/06/2023,74,37,38,28, , 
20/06/2023,60,31,48,29, , 
21/06/2023,57,28,31,27, , 
22/06/2023,70,31,52,28, , 
23/06/2023,61,30,62,29, , 
24/06/2023,61,29,67,28, , 
25/06/2023,57,25,38,12, , 
26/06/2023,48,27,39,16, , 
27/06/2023,57,28,42,17, , 
28/06/2023,63,39,28,9, , 
29/06/2023,99,22,37,11, , 
30/06/2023,54,25,37,13, , 
02/01/2023,36,24,18,25, , 
03/01/2023,50,11,25,14, , 
04/01/2023,29,11,24,17, , 
05/01/2023,23,15,24,20, , 
06/01/2023,35,15,20,20, , 
07/01/2023,43,13,27,16, , 
08/01/2023,34,15,27,16, , 
09/01/2023,31,20,21,25, , 
10/01/2023,44,13,22,13, , 
11/01/2023,20,17,27,15, , 
12/01/2023,31,19,29,17, , 
13/01/2023,34,14,26,16, , 
14/01/2023,33,12,29,12, , 
15/01/2023,29,12,28,18, , 
16/01/2023,26,24,11,30, , 
17/01/2023,57,24,18,24, , 
18/01/2023,53,21,15,23, , 
19/01/2023,54,24,14,23, , 
20/01/2023,55,28,13,21, , 
21/01/2023,71,28,14,17, , 
22/01/2023,72,28,9,18, , 
23/01/2023,71,36,8,21, , 
24/01/2023,72,37,6,21, , 
25/01/2023,91,38,17,26, , 
26/01/2023,94,28,20,24, , 
27/01/2023,51,26,16,20, , 
28/01/2023,66,37,21,28, , 
29/01/2023,82,169,15,24, , 
30/01/2023,56,604,19,28, , 
31/01/2023,59,301,24,21, , 
01/02/2023,46,25,25,22, , 
02/02/2023,38,19,25,19, , 
03/02/2023,29,22,17,21, , 
04/02/2023,49,23,25,17, , 
05/02/2023,42,36,16,23, , 
