date, pm25, pm10, o3, no2, so2, co
2024/1/28, 38, 7, 30, 17, , 3
2024/1/29, 24, 11, 29, 21, , 3
2024/1/30, 41, 13, 31, 22, , 4
2024/1/31, 52, 12, 35, 11, , 3
2024/2/1, 39, 7, 30, 9, , 2
2024/2/2, 23, 4, 33, 7, , 2
2024/2/3, 15, 9, 31, 9, , 3
2024/2/4, 39, 6, 28, 12, , 2
2024/2/5, 26, 6, 23, 14, , 3
2024/2/6, 27, 10, 24, 20, , 3
2024/2/7, 47, , 30, 15, , 3
2024/2/8, 31, 7, 32, 12, , 2
2024/2/9, 25, 12, 31, 16, , 2
2024/2/10, 44, 6, 36, 5, , 2
2024/2/11, 22, 7, 35, 6, , 2
2024/2/12, 24, 10, 35, 18, , 3
2024/2/13, 38, 16, 27, 30, , 3
2024/2/14, 58, 14, 32, 18, , 4
2024/2/15, 41, 5, 33, 3, , 
2024/2/16, 18, 9, 31, 7, , 2
2024/2/17, 31, 11, 35, 9, , 2
2024/2/18, 34, 7, 32, 6, , 2
2024/2/19, 16, 10, 31, 6, , 2
2024/2/20, 30, 8, 28, 7, , 2
2024/2/21, 26, 5, 24, 7, , 2
2024/2/22, 16, 5, 26, 6, , 
2024/2/23, 19, 6, 32, 7, , 2
2024/2/24, 20, 6, 27, 7, , 2
2024/2/25, 30, 2, 33, 3, , 
2024/2/26, 10, 5, 33, 2, , 
2024/2/27, 20, 4, 34, 3, , 
2024/2/28, 13, 10, 23, 13, , 2
2024/2/29, 18, 5, 33, 9, , 3
2024/3/1, 1, 4, 35, 2, , 2
2024/3/2, 1, 7, 37, 5, , 2
2024/3/3, 1, 10, 39, 10, , 3
2024/3/4, 17, 7, 30, 12, , 2
2024/3/5, 33, 4, 34, 7, , 2
2024/3/6, 16, 6, 34, 5, , 
2024/3/7, 22, 7, 31, 9, , 2
2024/3/8, 34, 8, 36, 8, , 2
2024/3/9, 34, 5, 37, 5, , 2
2024/3/10, 16, 6, 34, 10, , 2
2024/3/11, 24, 11, 32, 18, , 3
2024/3/12, 58, 5, 42, 3, , 2
2024/3/13, 21, 9, 42, 10, , 2
2024/3/14, 32, 16, 54, 10, , 3
2024/3/15, 52, 25, 55, 8, , 2
2024/3/16, 71, 18, 62, 6, , 2
2024/3/17, 55, 9, 40, 2, , 2
2024/3/18, 33, 10, 39, 6, , 2
2024/3/19, 39, 11, 40, 7, , 2
2024/3/20, 40, 4, 39, 3, , 2
2024/3/21, 18, 5, 40, 5, , 2
2024/3/22, 21, 8, 32, 11, , 2
2024/3/23, 37, 17, 30, 19, , 3
2024/3/24, 69, 19, 25, 16, , 4
2024/3/25, 79, 7, 35, 10, , 2
2024/3/26, 33, 4, 38, 5, , 3
2024/3/27, 18, 10, 27, 15, , 3
2024/3/28, 39, 9, 37, 7, , 2
2024/3/29, 27, 17, 55, 13, , 3
2024/3/30, 50, 24, 60, 5, , 2
2024/3/31, 60, 22, 42, 9, , 2
2023/10/1, 34, 8, 35, 4, , 2
2023/10/2, 22, 8, 44, 8, , 2
2023/10/3, 23, 10, 28, 9, , 2
2023/10/4, 20, 8, 31, 8, , 2
2023/10/5, 30, 5, 32, 4, , 
2023/10/6, 17, 8, 33, 3, , 
2023/10/7, 25, 9, 28, 4, , 2
2023/10/8, 30, 4, 22, 3, , 2
2023/10/9, 10, 4, 30, 6, , 2
2023/10/10, 9, 8, 35, 4, , 2
2023/10/11, 23, 10, 38, 7, , 2
2023/10/12, 31, 9, 35, 9, , 2
2023/10/13, 29, 12, 41, 11, , 3
2023/10/14, 37, 11, 27, 8, , 4
2023/10/15, 30, 7, 51, 8, , 3
2023/10/16, 20, 8, 36, 7, , 2
2023/10/17, 22, 10, 30, 13, , 3
2023/10/18, 27, 14, 42, 10, , 3
2023/10/19, 41, 14, 38, 9, , 3
2023/10/20, 45, 4, 28, 2, , 
2023/10/21, 10, 4, 34, 4, , 2
2023/10/22, 15, 9, 27, 13, , 3
2023/10/23, 27, 11, 35, 15, , 3
2023/10/24, 35, 15, 34, 14, , 3
2023/10/25, 46, 12, 39, 11, , 2
2023/10/26, 37, 14, 45, 14, , 3
2023/10/27, 44, 14, 40, 9, , 3
2023/10/28, 43, 4, 30, 3, , 2
2023/10/29, 25, 7, 32, 9, , 2
2023/10/30, 21, 12, 24, 18, , 3
2023/10/31, 38, 13, 42, 12, , 2
2023/11/1, 47, 19, 33, 22, , 4
2023/11/2, 55, 24, 66, 16, , 4
2023/11/3, 64, 29, 44, 13, , 3
2023/11/4, 74, 25, 37, 7, , 3
2023/11/5, 66, 10, 31, 6, , 2
2023/11/6, 31, 11, 30, 5, , 2
2023/11/7, 28, 9, 33, 6, , 3
2023/11/8, 30, 13, 32, 15, , 3
2023/11/9, 42, 21, 6, 19, , 3
2023/11/10, 64, 6, 27, 5, , 2
2023/11/11, 19, 8, 22, 4, , 3
2023/11/12, 31, 4, 29, 5, , 2
2023/11/13, 18, 5, 27, 12, , 2
2023/11/14, 16, 6, 21, 12, , 3
2023/11/15, 20, 10, 24, 15, , 3
2023/11/16, 36, 7, 23, 15, , 3
2023/11/17, 30, 4, 26, 8, , 2
2023/11/18, 15, 5, 25, 11, , 3
2023/11/19, 18, 5, 29, 9, , 3
2023/11/20, 14, 9, 19, 16, , 3
2023/11/21, 29, 14, 12, 27, , 4
2023/11/22, 49, 18, 21, 21, , 4
2023/11/23, 57, 17, 32, 14, , 4
2023/11/24, 48, 3, 28, 3, , 2
2023/11/25, 9, 6, 22, 6, , 2
2023/11/26, 26, 14, 17, 18, , 4
2023/11/27, 57, 12, 29, 19, , 3
2023/11/28, 56, 8, 25, , , 3
2023/11/30, 15, 6, 21, 15, , 3
2023/12/1, 24, 9, 21, 19, , 4
2023/12/2, 38, 9, 27, 12, , 3
2023/12/3, 36, 6, 26, 17, , 3
2023/12/4, 22, 15, 9, 25, , 4
2023/12/5, 53, 8, 25, 18, , 3
2023/12/6, 37, 11, 31, 15, , 3
2023/12/7, 44, 8, 32, 14, , 3
2023/12/8, 27, 17, 31, 24, , 4
